iter	RMSLE_val	RMSE
1030	0.09493183346	13733.61163
1035	0.09486421392	13724.17913
1040	0.09479648854	13715.73414
1045	0.09470195317	13703.00449
1050	0.094626053	13686.35677
1055	0.09454314874	13674.24748
1060	0.09443141135	13663.08781
1065	0.09436306825	13652.57896
1070	0.09429984601	13646.03076
1075	0.09421801386	13633.74609
1080	0.09413699207	13619.07032
1085	0.09407448151	13611.40677
1090	0.09401026596	13600.66077
1095	0.09390819511	13584.54131
1100	0.09384157615	13573.76222
1105	0.09372511793	13556.13336
1110	0.09364389845	13544.02839
1115	0.09357359717	13535.19662
1120	0.09348148096	13520.10753
1125	0.0933207294	13500.41574
1130	0.09324090372	13489.59435
1135	0.09317039	13479.30061
1140	0.09304283293	13463.5393
1145	0.09292569913	13446.6241
1150	0.09287744353	13438.82127
1155	0.09282734674	13430.57352
1160	0.09276621177	13418.41906
1165	0.09266357351	13405.00063
1170	0.09252143915	13386.25558
1175	0.09240908662	13375.06474
1180	0.09228987595	13359.06948
1185	0.09224342006	13350.24014
1190	0.09218859374	13339.3989
1195	0.09212462925	13328.96623
1200	0.09207880484	13322.57961
1205	0.09197980688	13305.66497
1210	0.09193555054	13296.51338
1215	0.09190666878	13290.82702
1220	0.09182110571	13279.12243
1225	0.09175699841	13265.72093
1230	0.09168734645	13253.72434
1235	0.09160042418	13235.75813
1240	0.09155935515	13229.31208
1245	0.09153997721	13226.16009
1250	0.09148939234	13217.16854
1255	0.09145706799	13213.22771
1260	0.0914008098	13204.90908
1265	0.09132045916	13189.4068
1270	0.09125163486	13176.81706
1275	0.09121825021	13173.27081
1280	0.09113485218	13160.00599
1285	0.09107730494	13151.97095
1290	0.0910006302	13144.18797
1295	0.09096540173	13138.9795
1300	0.09093720529	13133.22202
1305	0.0908609623	13121.69483
1310	0.09074488688	13108.05135
1315	0.09066505887	13092.30189
1320	0.09059645117	13082.9
1325	0.09053185261	13074.57444
1330	0.09047086483	13065.95582
1335	0.09042508457	13057.48601
1340	0.09036464095	13046.85017
1345	0.09031368837	13038.1259
1350	0.0902736198	13028.41921
1355	0.09019408364	13019.7448
1360	0.09012342036	13008.7979
1365	0.09007897089	13002.4033
1370	0.09003160659	12994.22259
1375	0.08998657003	12987.9279
